split,id,language,reference,bf16,q8,q4,q8_errors,q4_errors,q4_minus_q8_errors,normalized_q8_q4_equal
pilot,00038,zh,黑化肥挥发会发黑,黑化肥挥发会发黑。,黑化肥挥发会发黑。,黑化肥挥发会发黑。,0,0,0,True
pilot,01115,zh,他那个平台的统一性就是有同一个账号可以在不同的,它那个平台的统一性，就是你同一个账号可以在不同的。,它那个平台的统一性，就是你同一个账号可以在不同的。,它那个平台的统一性，就是你同一个账号可以在不同的。,2,2,0,True
pilot,01219,zh,就我们会谈到就是,就我们会谈到，就是。,就我们会谈到，就是。,就我们会谈到，就是。,0,0,0,True
pilot,00916,zh,然后考虑要去哪个国家的问题,还要考虑要去哪个国家的问题。,还要考虑要去哪个国家的问题。,还要考虑要去哪个国家的问题。,2,2,0,True
pilot,00819,zh,呃平台接受更多的平台然后两家都有的东西跟我,呃，平台接触更多的平台，然后了解到更多的东西，跟我。,呃，平台接触更多的平台，然后了解到更多的东西，跟我。,呃，平台接触更多的平台，然后了解到更多的东西，跟我。,6,6,0,True
pilot,00692,zh,然后水性会比较好一点,然后水性会比较好一点。,然后水性会比较好一点。,然后水性会比较好一点。,0,0,0,True
pilot,00867,zh,其实我没看过但是我听说深圳特产,其实我没看过，但是我听说深圳特产。,其实我没看过，但是我听说深圳特产。,其实我没看过，但是我听说深圳特产。,0,0,0,True
pilot,00975,zh,在未来有可能但是现在的话,在未来有可能，但是现在的话。,在未来有可能，但是现在的话。,在未来有可能，但是现在的话。,0,0,0,True
pilot,00201,zh,是可能是福建人里面最能吃辣的,是，可能是福建人里面最能吃辣的。,是，可能是福建人里面最能吃辣的。,是，可能是福建人里面最能吃辣的。,0,0,0,True
pilot,01190,zh,知道知道之前有接触到但是都是很,知道，知道，之前有接触到，但是都是很。,知道，知道，之前有接触到，但是都是很。,知道，知道，之前有接触到，但是都是很。,0,0,0,True
pilot,01222,en,this kind of robots to take care of our parents when they are getting old,This kind of robot to take care of our parents when they are getting old.,This kind of robot to take care of our parents when they are getting old.,This kind of robot to take care of our parents when they are getting old.,1,1,0,True
pilot,00047,en,so I I mean I study I S N in both my bachelorand master um degree so,"So I I mean I study I S M in both my bachelor and master, uh degree. So.","So I I mean I study I S M in both my bachelor and master, uh degree. So.","So, I, I mean, I study, IASM in both my bachelor and master, uh, degree. So.",4,6,2,False
pilot,00549,en,really it already has,"Really, it already has.","Really, it already has.","Really, it already has.",0,0,0,True
pilot,00177,en,so do you love your major,"So, do love your major.","So, do love your major.","So, do you love your major?",1,0,-1,False
pilot,00108,en,uh uh i i mean what's your planning for your next,"Uh uh, I I mean, what's your planning for your next?","Uh uh, I I mean, what's your planning for your next?","Uh, I, I mean, what's your planning for your next?",0,1,1,False
pilot,00137,en,um i'm i'm marry soon right now,"Um, I I'm in Arizona right now.","Um, I I'm in Arizona right now.","Um, I I'm in Arizona right now.",3,3,0,True
pilot,00508,en,this is a tricky question,This is a tricky question.,This is a tricky question.,This is a tricky question.,0,0,0,True
pilot,00530,en,it's like the electronic games,Like electronic games.,Like electronic games.,Like electronic games.,2,2,0,True
pilot,00703,en,basketball god the god of basketball,"Basketball God, the God of basketball.","Basketball God, the God of basketball.","Basketball God, the God of basketball.",0,0,0,True
pilot,00025,en,really uh close to Guangzhou Guangdong province,"Really, uh, close to Guang Guangdong Province.","Really, uh, close to Guang Guangdong Province.","Really, uh, close to Guang Guangdong Province.",1,1,0,True
pilot,00233,mixed,对台湾的台湾大学National Taiwan University念,对，台湾的台湾大学National Taiwan University念。,对，台湾的台湾大学National Taiwan University念。,对，台湾的台湾大学，National Taiwan University，念。,0,0,0,True
pilot,00441,mixed,那不如我们就跳到下一个topic topic吧,那不如我们就跳到下一个topic topic吧。,那不如我们就跳到下一个topic topic吧。,那不如我们就跳到下一个topic topic吧。,0,0,0,True
pilot,00416,mixed,也就是我现在supervisor呢就跟我说哎那你过来跟我做我就给你一些robotics相关的题目啊这样子做那我就说哎那其实,也就是我现在是个advisor呢，就跟我说，哎，那你过来跟我做，我就给你一些robotics相关的题目啊，这样子做，这样，那我就想说，哎，那其实。,也就是我现在是个advisor呢，就跟我说，哎，那你过来跟我做，我就给你一些robotics相关的题目啊，这样子做，这样，那我就想说，哎，那其实。,也就是我现在是个advisor呢，就跟我说，哎，那你过来跟我做，我就给你一些robotics相关的题目啊，这样子做，这样，那我就想说，哎，那其实。,6,6,0,True
pilot,00967,mixed,呃work shop学校应该也有统一的的work shop,呃，workshop学校应该也有统一的workshop。,呃，workshop学校应该也有统一的workshop。,呃，workshop，学校应该也有统一的workshop。,5,5,0,True
